x1,x2,x3,x4,x5,x6,x7,x8,x9,y
14,11,86,24,76,10,15,9,33,0
26,51,90,99,24,72,56,65,59,0
35,81,58,14,79,71,22,94,96,1
88,18,38,30,6,32,65,66,99,1
15,19,65,46,14,44,53,88,20,0
46,26,11,81,27,85,65,81,56,1
47,27,22,84,52,15,42,14,62,1
5,96,85,97,45,77,83,12,11,1
29,72,14,35,8,9,100,19,83,1
87,27,68,71,86,15,32,94,55,1
21,10,32,81,20,19,28,35,25,0
3,80,74,29,25,61,86,48,5,1
76,27,53,52,16,50,25,20,52,1
63,53,95,59,28,87,25,26,100,1
17,13,99,93,94,77,18,88,5,0
7,31,12,39,59,47,51,67,88,1
23,81,64,70,66,1,8,48,34,1
4,84,31,64,25,49,62,83,68,1
3,99,3,19,66,100,86,3,95,1
46,48,34,96,25,78,27,41,84,1
46,88,94,51,97,48,1,58,44,1
52,25,15,76,78,66,72,9,94,1
53,93,36,98,84,59,10,67,69,1
0,70,6,14,75,32,78,75,32,1
47,95,64,21,21,71,26,41,89,1
89,13,58,71,63,26,48,77,98,1
94,49,64,34,3,57,95,37,31,1
62,60,78,92,89,5,69,66,71,1
21,67,29,62,45,28,2,58,23,1
46,65,47,74,53,88,79,55,46,1
85,97,48,3,44,43,59,83,72,1
81,34,35,71,34,96,50,1,7,1
91,77,56,59,6,62,25,48,38,1
3,51,41,68,67,33,49,2,61,1
31,26,32,14,30,38,69,25,86,1
61,69,44,31,62,38,44,90,56,1
49,53,14,67,46,59,34,48,40,1
36,48,14,3,57,12,51,97,39,1
85,27,10,2,99,48,93,31,8,1
16,79,61,45,46,5,68,59,93,1
57,41,24,12,18,4,63,35,76,1
71,95,2,50,94,97,16,72,52,1
38,45,16,88,63,70,5,63,20,1
73,88,33,77,54,89,29,80,51,1
82,98,14,63,30,48,44,68,34,1
80,6,99,53,69,39,5,84,80,0
13,30,45,85,46,40,14,57,30,0
45,25,79,37,30,12,26,42,19,0
64,7,31,26,95,67,57,42,61,1
59,59,90,58,68,8,19,65,79,1
95,64,73,84,34,16,24,82,42,1
45,100,22,44,64,56,21,79,7,1
0,17,64,49,40,37,47,59,85,0
0,59,21,60,16,21,25,22,96,1
97,48,62,15,54,21,3,68,62,1
40,57,80,97,42,98,21,99,76,1
70,100,11,29,63,76,82,3,10,1
18,44,74,69,91,85,83,63,16,0
93,18,76,1,37,87,48,67,45,1
44,75,76,91,17,23,83,3,70,1
53,96,27,0,63,12,70,6,34,1
0,37,62,47,60,37,48,99,65,0
79,59,100,80,87,17,10,59,7,1
63,15,15,87,42,68,2,74,28,1
65,84,75,98,37,30,84,49,30,1
77,87,13,52,58,35,80,14,95,1
100,50,96,80,42,84,91,21,65,1
88,3,22,91,53,23,90,91,72,1
34,7,81,50,51,26,64,78,96,0
64,5,74,78,55,24,65,99,3,0
48,15,1,93,46,69,87,93,22,1
62,35,17,82,42,35,60,78,29,1
85,36,94,68,36,66,66,69,2,1
79,75,91,29,58,24,12,1,91,1
30,16,10,32,81,95,13,58,37,1
85,49,89,4,5,39,77,12,64,1
57,32,95,59,29,47,48,89,47,0
5,100,1,56,83,29,19,55,15,1
6,45,57,41,87,32,95,23,4,0
5,19,28,11,15,19,71,63,98,0
39,58,21,35,58,10,1,74,29,1
73,89,51,53,47,49,31,12,35,1
36,58,51,80,89,48,95,84,44,1
8,25,74,94,70,15,20,3,64,0
51,23,5,0,95,86,36,0,59,1
8,24,17,34,97,96,7,87,75,1
80,24,38,30,51,79,30,64,82,1
81,54,40,57,73,53,7,12,34,1
72,11,9,78,95,60,83,24,10,1
73,81,79,97,42,9,70,32,26,1
2,34,8,29,71,46,66,88,33,1
92,60,70,52,60,63,23,95,15,1
46,51,71,31,100,38,14,83,54,1
52,89,9,70,93,59,87,37,17,1
67,55,8,49,38,96,75,64,87,1
38,21,2,21,95,91,91,14,33,1
6,9,69,56,42,86,97,89,73,0
57,24,22,25,91,21,99,62,54,1
63,96,24,77,21,61,82,47,71,1
13,80,71,38,75,77,73,22,34,1
38,62,11,27,45,60,58,99,42,1
51,41,55,40,53,71,16,98,65,1
97,67,2,14,50,41,27,76,60,1
99,45,22,82,51,3,61,100,0,1
39,48,35,79,24,6,93,95,86,1
57,14,54,28,54,7,98,57,11,1
79,42,72,29,27,10,5,87,3,1
84,54,17,92,3,20,76,60,67,1
11,26,41,69,19,84,18,4,14,0
63,26,5,100,67,12,1,45,45,1
36,6,97,92,16,96,77,25,32,0
77,54,15,100,85,23,52,34,68,1
15,4,71,98,53,48,13,52,55,0
84,65,76,46,27,57,93,44,75,1
10,43,96,22,21,41,39,10,52,0
74,28,27,75,70,75,53,80,20,1
2,19,77,55,17,52,88,75,26,0
10,13,45,66,81,44,92,30,67,0
49,19,54,59,44,78,74,14,50,1
34,21,18,14,35,99,2,88,86,1
43,65,73,73,84,14,82,96,18,1
40,58,13,83,70,41,1,63,22,1
56,26,60,74,26,59,34,37,68,1
33,22,89,70,12,85,62,52,65,0
50,69,22,19,91,18,46,39,78,1
0,62,45,78,11,72,38,33,37,1
17,100,72,78,25,77,10,91,81,1
57,86,58,91,54,18,3,96,65,1
72,80,68,93,50,73,74,79,68,1
33,71,98,56,70,49,43,77,10,1
37,4,26,97,55,4,83,15,26,1
21,33,33,82,59,70,58,42,79,1
87,43,72,60,99,100,23,13,81,1
88,27,35,77,95,77,16,57,48,1
79,50,7,63,10,54,56,24,65,1
30,28,57,75,66,36,100,82,15,1
29,32,22,31,50,94,0,93,10,1
27,16,27,46,85,87,49,75,94,1
16,47,72,81,5,24,44,44,58,0
64,31,20,62,45,98,45,81,47,1
35,57,51,27,5,31,58,54,48,1
12,19,53,44,93,13,56,59,83,0
89,72,95,63,99,42,24,43,47,1
7,71,71,37,87,68,9,45,6,1
80,36,81,25,71,77,46,80,31,1
99,83,70,89,18,40,76,93,66,1
11,34,8,8,93,50,24,85,67,1
69,63,22,89,3,37,15,73,47,1
7,21,70,60,23,26,94,56,41,0
12,9,17,79,27,15,82,56,27,1
5,86,73,26,67,19,46,73,39,1
46,90,9,54,34,59,20,7,60,1
12,14,23,89,21,30,28,65,78,1
8,46,62,42,78,59,28,11,3,0
62,55,67,38,88,80,70,43,95,1
23,59,30,11,40,76,40,66,37,1
79,6,86,6,86,56,7,78,21,0
70,77,20,86,9,70,20,63,51,1
34,27,23,92,56,67,33,10,54,1
14,32,88,85,25,24,25,41,14,0
87,67,7,35,54,53,44,5,76,1
26,80,70,49,19,1,66,6,42,1
29,55,72,29,5,70,89,0,11,1
22,62,40,12,67,83,71,28,76,1
45,27,24,79,100,99,13,99,43,1
3,32,15,13,70,23,21,71,95,1
91,2,32,38,69,53,14,14,26,1
34,31,14,92,93,6,31,22,50,1
33,54,25,95,81,98,11,37,42,1
83,39,30,21,86,34,34,45,45,1
89,67,27,4,18,72,10,58,54,1
96,78,84,96,69,99,19,70,85,1
88,26,53,40,77,7,93,24,42,1
88,59,69,18,4,40,75,69,46,1
48,85,4,50,33,94,12,8,14,1
60,15,37,40,27,91,1,6,50,1
92,34,29,53,48,59,20,66,93,1
0,46,64,79,94,2,55,59,82,0
45,50,87,66,81,4,65,0,53,1
78,44,15,45,29,66,80,73,71,1
41,79,74,95,42,14,88,90,18,1
92,7,42,21,63,24,71,53,11,1
93,94,63,82,53,70,75,100,90,1
36,85,2,31,48,26,10,84,67,1
92,90,50,100,48,7,69,43,42,1
85,19,34,3,53,70,99,76,7,1
39,24,39,40,2,96,69,33,77,1
28,2,81,59,6,62,70,5,25,0
43,11,48,82,83,3,36,74,44,1
24,78,2,74,52,30,70,92,14,1
82,57,86,91,40,52,38,27,30,1
38,60,29,4,21,11,76,21,77,1
24,49,9,35,17,72,74,52,10,1
46,48,74,9,47,6,3,43,85,1
43,87,100,9,13,44,71,83,62,1
23,29,78,66,41,15,50,39,86,0
85,58,69,78,18,97,5,1,2,1
33,55,27,83,86,88,11,26,42,1
13,7,14,9,24,50,39,3,92,1
75,52,57,90,61,78,17,42,49,1
21,100,62,70,42,4,73,14,40,1
14,10,48,40,36,58,49,46,21,0
67,77,84,43,87,10,97,45,11,1
75,47,91,35,33,67,8,86,13,1
66,53,46,13,58,35,25,67,40,1
0,25,40,72,33,43,16,78,51,0
12,32,14,52,44,12,37,14,69,1
50,71,85,99,21,69,60,19,0,1
22,63,68,45,91,25,68,66,67,1
11,46,43,39,88,16,46,41,69,1
6,44,23,62,8,0,12,56,44,1
81,46,40,99,10,36,18,24,76,1
73,86,4,72,39,58,89,77,8,1
96,80,66,8,50,69,14,35,36,1
77,71,29,59,52,77,88,81,58,1
9,11,31,53,1,1,51,48,16,0
31,32,41,34,31,14,43,20,71,1
32,13,94,58,61,84,86,6,5,0
0,39,52,71,60,88,48,38,24,0
18,98,30,56,9,29,38,50,85,1
71,66,97,8,46,93,73,39,66,1
34,88,8,3,40,3,36,46,38,1
47,55,58,7,25,40,84,5,72,1
16,12,37,28,33,32,7,64,98,0
34,90,9,65,78,19,50,64,62,1
49,50,60,19,79,46,50,96,41,1
3,75,17,30,87,54,67,70,5,1
94,35,14,23,27,59,43,49,15,1
72,83,18,24,48,23,1,27,21,1
5,60,39,66,20,30,78,69,80,1
7,83,50,3,23,2,37,40,24,1
21,35,6,98,44,92,57,29,76,1
46,25,91,46,4,75,79,77,39,0
87,27,15,55,100,33,14,91,72,1
12,42,10,15,50,57,10,99,9,1
16,14,34,34,2,33,4,41,29,0
96,76,70,66,57,3,22,88,24,1
3,36,83,6,53,96,57,37,65,0
37,55,88,48,95,83,66,80,70,1
16,51,94,96,25,27,38,7,75,0
45,35,46,18,27,43,42,21,2,1
16,56,67,27,18,87,16,18,18,1
65,57,63,86,46,9,29,67,94,1
21,92,0,74,75,100,90,30,65,1
85,14,42,53,14,99,15,40,43,1
74,67,40,5,56,33,93,83,86,1
38,69,78,60,43,2,61,99,30,1
52,7,64,97,92,8,32,68,67,0
34,96,96,77,50,14,20,20,25,1
3,94,90,37,73,14,37,62,36,1
67,45,61,42,3,58,32,62,30,1
53,100,30,15,91,0,48,87,57,1
26,92,1,50,72,42,81,4,15,1
53,83,47,12,14,40,84,50,19,1
23,86,54,62,51,37,31,64,2,1
88,93,80,89,57,43,64,92,79,1
73,69,55,7,11,3,27,19,84,1
90,33,42,94,11,21,20,3,42,1
32,73,55,41,72,58,47,100,32,1
25,8,3,29,65,65,53,24,32,1
44,43,13,88,95,70,75,95,26,1
67,49,29,25,30,55,40,95,65,1
89,4,17,54,21,40,27,62,51,1
29,96,36,71,53,60,78,48,56,1
45,6,58,20,95,68,10,19,98,0
60,95,57,71,51,37,31,84,1,1
11,68,92,57,1,6,65,7,40,0
30,84,96,11,56,33,17,6,97,1
100,58,55,85,87,84,0,58,31,1
50,20,55,46,82,30,63,90,29,1
65,21,14,84,24,89,64,23,80,1
23,81,99,77,98,81,78,7,41,1
63,19,65,41,89,57,48,8,58,1
26,83,55,35,2,71,81,68,55,1
90,32,83,38,41,16,93,13,25,1
94,21,50,7,5,22,67,78,89,1
0,87,94,14,100,61,49,95,30,0
78,27,78,61,6,37,56,85,59,1
65,30,78,38,61,46,22,97,25,1
94,18,89,22,16,45,56,54,3,1
58,18,5,22,68,33,58,13,69,1
5,74,43,91,28,72,22,50,27,1
41,68,75,87,73,1,57,12,75,1
62,57,16,63,44,65,57,65,15,1
49,96,1,40,55,21,64,48,85,1
12,14,52,27,86,7,78,82,16,0
83,94,58,62,5,61,74,23,34,1
14,42,98,55,34,94,74,70,98,0
39,36,41,44,56,48,45,27,48,1
82,87,2,54,18,83,33,68,0,1
29,65,7,37,82,17,66,47,79,1
30,13,38,8,46,31,84,11,12,1
75,29,31,69,71,77,89,90,79,1
37,86,65,24,57,27,50,55,34,1
43,31,94,85,43,93,83,86,77,0
50,89,9,85,19,8,11,92,15,1
58,43,55,51,87,36,19,12,43,1
91,74,10,21,19,39,90,59,78,1
83,25,41,65,79,33,46,31,79,1
18,48,33,5,91,0,30,71,47,1
92,85,17,86,20,32,56,3,82,1
13,88,23,43,24,47,44,7,77,1
30,99,25,43,45,97,14,91,82,1
68,7,92,71,63,2,97,61,49,0
49,15,21,42,83,54,86,32,94,1
7,53,99,10,87,63,50,78,0,0
63,44,59,7,13,83,59,14,49,1
42,51,76,100,42,43,18,43,56,1
81,92,26,50,73,40,13,40,19,1
99,49,42,0,37,65,7,68,82,1
58,64,90,26,38,100,35,67,61,1
65,19,61,20,93,25,99,22,65,1
30,30,20,76,64,90,36,19,69,1
62,66,86,10,49,33,37,65,17,1
57,89,42,70,80,1,4,75,3,1
59,62,6,62,68,0,17,19,37,1
94,66,63,7,76,13,57,75,40,1
25,26,68,66,23,88,50,97,23,0
6,96,19,91,1,35,90,34,54,1
46,84,100,60,52,7,53,54,87,1
55,63,54,88,25,35,71,96,48,1
62,21,81,97,17,2,85,62,82,1
93,53,77,63,2,18,35,94,49,1
60,1,48,63,98,26,65,28,87,1
82,41,43,70,0,12,63,66,89,1
57,31,23,12,21,82,32,69,8,1
24,70,35,51,27,60,5,84,11,1
86,32,28,9,83,16,86,32,64,1
69,64,9,24,95,51,14,30,4,1
14,97,40,59,78,3,12,67,58,1
88,89,64,96,64,41,80,66,15,1
7,82,14,73,51,6,59,36,42,1
99,62,69,0,33,95,6,42,2,1
29,95,86,45,36,31,47,27,34,1
5,48,50,88,89,24,45,98,35,1
45,34,56,66,27,15,74,92,19,1
10,66,57,93,2,64,66,12,95,1
33,2,66,7,71,16,78,89,75,0
15,33,80,92,57,13,30,51,1,0
6,54,29,90,40,44,31,35,19,1
30,22,12,49,35,63,36,5,34,1
4,78,79,64,68,19,43,55,67,1
96,76,24,14,40,50,5,63,87,1
92,85,78,96,80,15,51,55,62,1
80,44,48,53,39,97,30,24,59,1
77,58,13,60,43,55,6,40,10,1
17,1,17,90,68,40,44,42,33,1
83,17,87,57,73,61,80,55,87,1
83,49,45,34,37,94,33,5,22,1
55,68,97,92,66,27,72,56,19,1
32,50,75,7,96,53,52,25,6,1
64,85,55,32,19,84,84,44,58,1
18,47,66,26,98,32,20,54,84,0
67,20,61,41,90,55,86,28,21,1
92,62,20,80,31,79,86,40,86,1
60,99,74,53,34,72,60,44,98,1
29,28,40,86,19,96,27,1,26,1
56,39,88,36,64,87,41,26,7,1
2,15,83,2,57,87,14,49,58,0
1,61,26,80,27,34,0,37,25,1
62,76,91,36,62,96,96,70,34,1
73,41,45,49,64,29,28,87,59,1
4,8,18,86,63,42,63,68,44,0
25,76,94,43,42,14,24,91,4,1
70,22,49,67,68,78,25,68,34,1
65,24,27,20,40,3,25,49,93,1
26,79,42,54,37,56,31,75,71,1
66,70,50,15,21,26,44,30,27,1
43,88,79,58,38,83,80,36,31,1
57,87,77,88,58,20,88,29,40,1
77,85,21,72,25,36,8,36,11,1
97,43,0,17,6,89,82,35,48,1
26,54,81,89,2,89,100,56,95,0
23,88,79,85,87,55,76,45,100,1
97,63,53,18,20,70,60,79,98,1
65,64,42,78,25,54,56,2,79,1
20,39,62,33,2,1,46,86,98,0
62,9,52,80,100,8,5,21,32,1
37,21,0,48,84,89,19,50,65,1
39,85,20,13,95,81,100,21,10,1
23,57,91,34,35,12,27,47,30,0
44,0,24,1,46,41,72,17,52,1
12,19,70,97,39,25,5,19,86,0
17,99,59,44,93,5,4,16,17,1
38,4,97,57,67,85,46,30,35,0
6,51,96,93,43,13,35,42,99,0
12,68,15,39,93,23,78,28,23,1
94,64,1,41,54,66,77,26,30,1
97,62,0,23,43,4,91,31,22,1
57,89,44,96,25,69,72,31,73,1
54,43,16,8,34,86,89,41,2,1
37,11,29,84,44,94,25,3,98,1
44,87,99,73,10,51,90,77,76,1
23,83,59,30,83,53,58,61,75,1
68,52,64,18,44,13,63,63,0,1
89,16,21,79,44,14,20,38,48,1
55,84,34,25,52,15,60,20,77,1
77,54,39,12,45,28,5,18,67,1
45,22,6,37,16,25,94,32,10,1
52,53,12,13,97,79,90,33,1,1
99,7,33,31,70,7,76,10,28,1
8,27,45,57,89,91,58,82,41,0
87,62,94,58,10,64,0,39,52,1
26,54,76,18,64,18,41,3,89,1
42,69,24,74,4,73,80,25,6,1
22,23,36,30,84,62,80,93,5,1
48,57,73,67,72,54,96,94,68,1
18,83,42,21,48,89,11,55,83,1
90,44,44,79,43,93,30,48,40,1
6,27,19,73,48,24,67,83,65,1
99,40,80,31,27,38,74,41,36,1
70,7,30,23,100,32,31,56,76,1
43,84,22,17,10,73,60,6,59,1
21,88,30,16,18,19,59,66,38,1
72,17,88,4,38,57,19,18,26,1
85,19,37,60,6,10,76,73,2,1
91,24,83,58,96,11,41,63,28,1
58,4,78,66,76,45,14,77,37,0
10,61,5,9,99,9,45,91,21,1
49,13,33,12,35,80,41,44,56,1
99,33,8,95,12,47,64,64,33,1
5,68,86,95,76,37,5,15,60,0
57,78,36,6,95,87,51,24,96,1
19,73,27,33,44,7,51,69,57,1
58,32,77,0,66,81,17,44,0,1
52,91,28,16,9,95,17,58,87,1
17,44,15,2,22,16,12,82,75,1
31,78,53,12,27,99,62,52,23,1
27,28,85,46,38,82,36,71,48,0
68,37,78,16,27,6,48,2,10,1
59,8,35,96,4,21,75,9,5,1
9,83,18,74,42,43,47,82,72,1
95,99,11,11,31,20,6,7,85,1
48,28,73,52,87,90,17,69,44,1
50,30,24,38,98,45,33,44,52,1
44,15,48,86,42,17,20,80,95,1
0,74,27,79,84,14,86,89,72,1
63,76,77,55,43,80,45,85,85,1
31,37,7,89,56,88,66,15,82,1
28,28,44,19,17,43,80,93,37,1
15,44,6,64,1,53,7,85,84,1
71,2,67,78,97,49,69,28,95,1
30,99,58,65,65,47,64,89,26,1
30,27,38,19,65,65,53,57,26,1
6,12,39,46,81,83,84,52,39,0
22,66,52,27,47,0,49,49,46,1
73,68,15,33,64,72,30,47,56,1
7,61,70,94,98,4,27,54,67,0
60,34,78,5,80,34,29,74,97,1
29,10,59,53,30,75,96,99,16,0
62,100,18,70,15,43,44,85,85,1
87,38,40,73,44,63,0,80,82,1
87,78,81,14,0,86,83,95,33,1
19,82,35,42,23,67,85,58,69,1
43,3,100,11,67,40,73,97,21,0
10,48,77,83,5,3,34,95,36,0
93,18,99,47,1,30,44,10,84,1
28,61,86,28,98,82,60,93,45,1
5,75,90,58,59,69,84,45,90,0
54,85,81,58,42,41,93,73,13,1
91,64,34,32,60,24,38,69,59,1
61,18,57,49,27,92,59,32,48,1
19,74,63,100,85,10,43,69,58,1
64,36,38,23,64,4,62,35,62,1
45,38,73,49,89,64,37,26,99,1
41,29,14,75,13,68,71,50,80,1
94,78,55,17,14,5,83,49,72,1
13,31,6,44,92,73,11,95,31,1
20,0,85,42,27,78,71,36,33,0
51,81,66,64,49,51,76,93,22,1
75,1,95,42,43,23,94,74,86,0
54,48,75,47,89,27,12,36,20,1
42,92,43,34,72,82,91,5,59,1
49,25,42,22,35,94,44,12,34,1
28,90,10,41,99,82,94,30,95,1
37,60,73,75,89,53,65,84,74,1
17,5,56,58,83,1,87,89,72,0
72,27,85,94,38,52,25,49,67,1
94,2,5,78,8,12,7,5,91,1
23,41,51,81,37,57,31,34,6,1
33,48,21,37,86,9,71,100,22,1
83,10,51,82,22,83,67,48,13,1
65,54,62,65,94,96,39,84,13,1
57,5,6,2,87,56,70,10,22,1
28,67,41,33,29,73,37,44,11,1
52,79,61,35,34,48,90,43,67,1
64,89,11,52,63,1,66,41,13,1
8,23,42,61,34,85,0,5,23,0
49,0,59,79,45,76,73,46,76,0
32,61,76,99,1,7,84,1,56,1
59,70,3,44,10,0,66,11,56,1
13,74,49,82,83,46,56,81,63,1
6,35,87,55,3,78,34,44,81,0
51,55,17,41,28,90,60,38,30,1
53,24,84,93,4,96,52,73,44,0
17,39,15,4,30,46,98,78,26,1
73,38,42,37,27,89,61,56,10,1
60,16,69,86,31,26,29,81,23,1
13,77,94,30,60,3,8,33,12,0
20,2,33,55,20,45,65,11,48,0
8,52,58,40,82,85,69,39,99,1
83,27,81,29,44,27,30,3,8,1
95,52,45,81,75,6,42,43,73,1
93,16,58,52,24,40,17,16,25,1
56,71,35,93,86,24,63,73,45,1
20,2,100,67,54,74,70,22,40,0
29,15,92,51,6,57,35,86,4,0
62,43,41,85,14,74,64,60,96,1
91,22,83,46,36,15,36,63,53,1
60,67,43,41,91,11,93,45,67,1
